generated_query,device_info,language
"Dryer alli synthetic ge normal madu matte fan speed annu mooru kadiime maadi, aadmele fridge ge powercool chalu maadi.","[{'device': 'dryer', 'mode': 'Normal', 'args': {'fabric_type': 'synthetic'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'PowerCool', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 3}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Kannada (Latin)
"Dryer-il 6 item-ukal steam refresh cheyyuka, appol tanne washer-il delicate fabric-ukalkku vendi heavy soil perm press cheyyuka, cooling self clean cheyyuka, entertainment info edukkuka, pakshe fridge-ile ice maker on aakkanam.","[{'device': 'dryer', 'mode': 'SteamRefresh', 'args': {'item_count': 6, 'load_status': 'wet'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'PermPress', 'args': {'fabric_type': 'delicate', 'soil_level': 'heavy'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Malayalam (Latin)
"Laundry sanitize koro, tarpor microwave-ta auto cook koro, abar fan r AC ekshathe choluk, pore thanda taatati dao.","[{'device': 'dryer', 'mode': 'Sanitize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'FastCool', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Bengali (Latin)
Fridge ka IceMaker off kardo.,"[{'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",Romanised Urdu (Latin)
వాషర్ ని పవర్ రిన్స్ మోడ్ లో ఉంచండి మరియు టీవీ మెనుని తెరవండి.,"[{'device': 'washer', 'mode': 'PowerRinse', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",Telugu (Telugu Script)
"Dryer nu SmallLoad te washer nu Towels te chalao, te fer TV di volume 85 ghatao, fridge da DoorAlarm on karo, te fer microwave nu Deodorize koro.","[{'device': 'dryer', 'mode': 'SmallLoad', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'Towels', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'volume', 'args': {'direction': 'decrease by', 'level': 85}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Punjabi (Latin)
"Washer ko wool per small load size ke saath chalao, TV ki info do aur dryer ko TimeDry mode per 32 minutes ke liye chalao, phir AC ka ChildLock on kardo.","[{'device': 'washer', 'mode': 'Wool', 'args': {'load_size': 'small'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'TimeDry', 'args': {'duration': 32}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Urdu (Latin)
"ఫ్రిజ్ ని AI రిఫ్రిజిరేషన్ మోడ్ లో పెట్టండి, ఆ తర్వాత మైక్రోవేవ్ ని ఆటో కుక్ మోడ్ లో పెట్టండి.","[{'device': 'fridge', 'mode': 'AIRefrigeration', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Telugu (Telugu Script)
"Laundry EcoNormal mudichathukku aprom, fan speed ah rendu level kammi pannu. Athuku aprom cooling on pannu, apprame microwave AutoCook kooda start pannu.","[{'device': 'dryer', 'mode': 'EcoNormal', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 2}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Cool', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
"প্রথমে এসিটি ডিহিউমিডিফাই করো, এবং এর সাথে সাথেই ফ্রিজের পাওয়ার ফ্রিজ চালু করো।","[{'device': 'ac', 'mode': 'Dehumidify', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'PowerFreeze', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Bengali (Bangla)
"પછી કન્વેક્શન મોડ ચાલુ કરો, 400 વોટ્સ પર અને 18.5 મિનિટ માટે.","[{'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 400, 'time': 18.5}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Gujarati (Gujarati Script)
"ముందుగా ఫ్రిడ్జ్ ని AI రెఫ్రిజిరేషన్ మోడ్ లో పెట్టు, ఆ తరువాత వాషర్ ని పెర్మ్ ప్రెస్ మోడ్ లో, ఫాబ్రిక్ టైపుని పెర్ఫార్మెన్స్ గా మరియు సాయిల్ లెవెల్ ని లైట్ గా ఒకేసారి పెట్టు, తర్వాత మైక్రోవేవ్ ని నాలుగు నిమిషాల పాటు క్విక్ డీఫ్రాస్ట్ చేయి.","[{'device': 'fridge', 'mode': 'AIRefrigeration', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'PermPress', 'args': {'fabric_type': 'performance', 'soil_level': 'light'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 4.0}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Telugu (Telugu Script)
"टीव्हीवर प्राईम सुरू कर आणि वॉशरला इको कोल्ड मोडमध्ये लाईट सोईल सेटिंगवर चालव, नंतर पंखा ऑटो मोडवर ठेव.","[{'device': 'tv', 'mode': 'openApp', 'args': {'appName': 'Prime'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'EcoCold', 'args': {'soil_level': 'light'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Marathi (Devanagari)
"microwave ka favorite koro, phir pankha chalao, phir laundry ko SteamSanitize koro, uske baad fridge ka ChildLock band kardo.","[{'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'SteamSanitize', 'args': {'load_status': 'wet'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Hindi (Latin)
"AC ionizer cheyyuka, athu pole thanne fridge-ile water filter reset cheyyuka. Athinu shesham dryer bedding mode-il start cheyyuka, pinne TV-yile settings-il poyi system menu open cheyyuka.","[{'device': 'ac', 'mode': 'Ionizer', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'WaterFilterReset', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'Bedding', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'settings', 'args': {'menu': 'system'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Malayalam (Latin)
"Entertainment off chesi, taravata cooling turbo kottu mariyu convection lo microwave ni 100 watts tho rendu nimishalu start cheyyi, taravata fan ni auto mode lo pettu.","[{'device': 'tv', 'mode': 'power', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Turbo', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 100, 'time': 2.0}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
ఉతికే యంత్రానికి డెనిమ్ మోడ్‌ను మధ్యస్థ రంగులో పెట్టు.,"[{'device': 'washer', 'mode': 'Denim', 'args': {'color_shade': 'medium'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Telugu (Telugu Script)
"fan nu off cheyyi mariyu dryer lo synthetic setting tho SuperSpeed start cheyyi, tarvata washer nu light soil tho HeavyDuty start cheyyi, ventane AC ni Quiet mode lo pettu.","[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'SuperSpeed', 'args': {'fabric_type': 'synthetic'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'HeavyDuty', 'args': {'soil_level': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'Quiet', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Telugu (Latin)
