generated_query,device_info
Microwave ko AutoCook mode mein chalao aur fridge mein ChildLock on kar do.,"[{'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]"
फ्रिज को वेकेशन मोड पर चालू कर दो,"[{'device': 'fridge', 'mode': 'VacationMode', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]"
Dryer mein AiOptimalDry mode chala do.,"[{'device': 'dryer', 'mode': 'AiOptimalDry', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]"
"Turn off the cooling fan, then set the AC to 19 degrees.","[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'TemperatureControl', 'args': {'temperature': 19}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"Fridge ka temperature 21 degree set karo, TV par left navigate karo aur washer ko SteamSanitize mode mein colorfast aur light soil level ke saath chalao. Iske baad, cooling ki light band kar do.","[{'device': 'fridge', 'mode': 'SetFridgeTemp', 'args': {'temperature': 21}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'DisplayLight', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'navigate', 'args': {'direction': 'left'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamSanitize', 'args': {'colorfast': True, 'soil_level': 'light'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
Dryer ko denim mode par aur microwave ko 3.5 minutes ke quick defrost par chalao. Phir jab microwave ho jaye to AC ka fan shuru karo aur saath mein pankhe ki speed badhao.,"[{'device': 'dryer', 'mode': 'Denim', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 3.5}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Fan', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'up'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"माइक्रोवेव को साफ करो और फिर टीवी का मेनू खोलो, मेनू खुलने के बाद ड्रायर को डेलिकेट्स मोड पर चालू कर दो","[{'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Delicates', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"Start the power rinse on the washing machine. After the dryer finishes with the wool setting for wrinkle-free fabric (not machine washable), set the freezer to 15 degrees. Then record entertainment for 165 minutes and finally, quickly defrost food in the microwave for 18 minutes.","[{'device': 'washer', 'mode': 'PowerRinse', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Wool', 'args': {'fabric_type': 'wrinklefree', 'machine_washable': False}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'SetFreezerTemp', 'args': {'temperature': 15}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'record', 'args': {'duration': 165}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 18.0}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"पहले वाशर में पावर रिंस चालु करो, फिर जब वो हो जाए, तब पंखा बंद करो, माइक्रोवेव में ऑटो कुक चालु करो, और ड्रायर को नार्मल मोड में रिंकल फ्री कपड़ों के लिए चालु करो।","[{'device': 'washer', 'mode': 'PowerRinse', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Normal', 'args': {'fabric_type': 'wrinklefree'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
पंखे को बंद कर दो।,"[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]"
"Fridge ko 19 minute ke liye ConvertFreezerToFridge mode mein chalao aur saath hi dryer ko Bedding mode mein start karo. Fir, jab yeh ho jaaye, to washer ko SteamSanitize mode mein colorfast aur heavy soil level ke saath chalao. Uske baad fan ki speed badhao.","[{'device': 'fridge', 'mode': 'ConvertFreezerToFridge', 'args': {'duration': 19}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'Bedding', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'up'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'SteamSanitize', 'args': {'colorfast': True, 'soil_level': 'heavy'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"First, start the dryer on the PermPress setting for wool. Then, after it's done, show the information on the entertainment device while also using the favorite setting on the food heating device.","[{'device': 'dryer', 'mode': 'PermPress', 'args': {'fabric_type': 'wool'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"TV band karo aur AC ko FastCool mode pe set karo, saath hi dryer ko SteamSanitize mode mein 'dry' load status ke saath chalao, phir uske baad microwave ko ConvectionPlus mode mein 100 watts aur 9.5 minutes ke liye chalao.","[{'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'FastCool', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'SteamSanitize', 'args': {'load_status': 'dry'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'ConvectionPlus', 'args': {'watts': 100, 'time': 9.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
